id,customer_code,site_code,site_zone_type,category_code,site_zone_code,site_zone_name,create_dt,create_user,update_dt,update_user
42,ESL,B092,門市分類,133BBEBE2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
43,ESL,B092,門市分類,134BBABA0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
44,ESL,B092,門市分類,134BBABA1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
45,ESL,B092,門市分類,134BBABA2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
46,ESL,B092,門市分類,134BBBBB0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
47,ESL,B092,門市分類,134BBBBB1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
48,ESL,B092,門市分類,134BBBBB2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
49,ESL,B092,門市分類,134BBBBB3,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
50,ESL,B092,門市分類,134BBCBC0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
51,ESL,B092,門市分類,134BBCBC1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
52,ESL,B092,門市分類,134BBDBD0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
53,ESL,B092,門市分類,134BBEBE0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
54,ESL,B092,門市分類,134BBEBE1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
55,ESL,B092,門市分類,134BBEBE2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
56,ESL,B092,門市分類,135BBABA0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
57,ESL,B092,門市分類,135BBABA1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
58,ESL,B092,門市分類,135BBABA2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
59,ESL,B092,門市分類,135BBBBB0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
60,ESL,B092,門市分類,135BBBBB1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
61,ESL,B092,門市分類,135BBBBB2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
62,ESL,B092,門市分類,135BBBBB3,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
63,ESL,B092,門市分類,135BBCBC0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
64,ESL,B092,門市分類,135BBCBC1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
65,ESL,B092,門市分類,135BBDBD0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
66,ESL,B092,門市分類,135BBEBE0,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
67,ESL,B092,門市分類,135BBEBE1,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
68,ESL,B092,門市分類,135BBEBE2,9205,2-繪本外購,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
69,ESL,B092,門市分類,131AAAAA0,9206,3-幼幼內購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
70,ESL,B092,門市分類,131AAAAA1,9206,3-幼幼內購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
71,ESL,B092,門市分類,131AAAAA2,9206,3-幼幼內購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
72,ESL,B092,門市分類,132AAAAA0,9206,3-幼幼內購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
73,ESL,B092,門市分類,132AAAAA1,9206,3-幼幼內購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
74,ESL,B092,門市分類,132AAAAA2,9206,3-幼幼內購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
75,ESL,B092,門市分類,131AABAB0,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
76,ESL,B092,門市分類,131AABAB1,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
77,ESL,B092,門市分類,131AABAB2,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
78,ESL,B092,門市分類,131AABAB3,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
79,ESL,B092,門市分類,131AABAB4,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
80,ESL,B092,門市分類,132AABAB0,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
81,ESL,B092,門市分類,132AABAB1,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
82,ESL,B092,門市分類,132AABAB2,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
83,ESL,B092,門市分類,132AABAB3,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
84,ESL,B092,門市分類,132AABAB4,9207,3-幼幼內購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
85,ESL,B092,門市分類,133AAAAA0,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
86,ESL,B092,門市分類,133AAAAA1,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
87,ESL,B092,門市分類,133AAAAA2,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
88,ESL,B092,門市分類,134AAAAA0,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
89,ESL,B092,門市分類,134AAAAA1,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
90,ESL,B092,門市分類,134AAAAA2,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
91,ESL,B092,門市分類,135AAAAA0,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
92,ESL,B092,門市分類,135AAAAA1,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
93,ESL,B092,門市分類,135AAAAA2,9208,4-幼幼外購-認知/故事,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
94,ESL,B092,門市分類,133AABAB0,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
95,ESL,B092,門市分類,133AABAB1,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
96,ESL,B092,門市分類,133AABAB2,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
97,ESL,B092,門市分類,133AABAB4,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
98,ESL,B092,門市分類,134AABAB0,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
99,ESL,B092,門市分類,134AABAB1,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
100,ESL,B092,門市分類,134AABAB2,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
101,ESL,B092,門市分類,134AABAB4,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
102,ESL,B092,門市分類,135AABAB0,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
103,ESL,B092,門市分類,135AABAB1,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
104,ESL,B092,門市分類,135AABAB2,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
105,ESL,B092,門市分類,135AABAB4,9209,4-幼幼外購-遊戲書,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
106,ESL,B092,門市分類,211AAAAA0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
107,ESL,B092,門市分類,211AABAB0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
108,ESL,B092,門市分類,211AACAC0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
109,ESL,B092,門市分類,211AACAC1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
110,ESL,B092,門市分類,211AACAC2,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
111,ESL,B092,門市分類,211AACAC3,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
112,ESL,B092,門市分類,211AACAC4,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
113,ESL,B092,門市分類,211AADAD0,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
114,ESL,B092,門市分類,211AADAD1,9210,5-雜誌影音/413文具線,2023-10-02 14:30:58.650,,2023-10-02 14:30:58.650,
